"pkg","weight_oz","year","col","qty","exp_col_prop","exp_qty"
1,1.69,2007,"blue",13,0.24,13
1,1.69,2007,"brown",7,0.14,8
1,1.69,2007,"green",12,0.16,9
1,1.69,2007,"orange",9,0.2,11
1,1.69,2007,"red",7,0.13,7
1,1.69,2007,"yellow",8,0.14,8
2,1.69,2007,"blue",8,0.24,13
2,1.69,2007,"brown",3,0.14,7
2,1.69,2007,"green",13,0.16,8
2,1.69,2007,"orange",13,0.2,11
2,1.69,2007,"red",10,0.13,7
2,1.69,2007,"yellow",6,0.14,7
3,1.69,2007,"blue",8,0.24,13
3,1.69,2007,"brown",10,0.14,8
3,1.69,2007,"green",11,0.16,9
3,1.69,2007,"orange",10,0.2,11
3,1.69,2007,"red",5,0.13,7
3,1.69,2007,"yellow",10,0.14,8
4,1.69,2007,"blue",14,0.24,13
4,1.69,2007,"brown",4,0.14,8
4,1.69,2007,"green",6,0.16,9
4,1.69,2007,"orange",14,0.2,11
4,1.69,2007,"red",7,0.13,7
4,1.69,2007,"yellow",9,0.14,8
5,1.69,2007,"blue",6,0.24,12
5,1.69,2007,"brown",8,0.14,7
5,1.69,2007,"green",10,0.16,8
5,1.69,2007,"orange",12,0.2,10
5,1.69,2007,"red",8,0.13,7
5,1.69,2007,"yellow",8,0.14,7
6,1.69,2007,"blue",7,0.24,13
6,1.69,2007,"brown",11,0.14,8
6,1.69,2007,"green",13,0.16,9
6,1.69,2007,"orange",7,0.2,11
6,1.69,2007,"red",4,0.13,7
6,1.69,2007,"yellow",13,0.14,8
7,1.69,2007,"blue",8,0.24,12
7,1.69,2007,"brown",7,0.14,7
7,1.69,2007,"green",13,0.16,8
7,1.69,2007,"orange",8,0.2,10
7,1.69,2007,"red",7,0.13,7
7,1.69,2007,"yellow",9,0.14,7
8,1.69,2007,"blue",12,0.24,13
8,1.69,2007,"brown",10,0.14,7
8,1.69,2007,"green",6,0.16,8
8,1.69,2007,"orange",8,0.2,11
8,1.69,2007,"red",8,0.13,7
8,1.69,2007,"yellow",9,0.14,7
9,1.69,2007,"blue",6,0.24,13
9,1.69,2007,"brown",9,0.14,8
9,1.69,2007,"green",12,0.16,9
9,1.69,2007,"orange",14,0.2,11
9,1.69,2007,"red",8,0.13,7
9,1.69,2007,"yellow",6,0.14,8
10,1.69,2007,"blue",7,0.24,13
10,1.69,2007,"brown",8,0.14,8
10,1.69,2007,"green",12,0.16,9
10,1.69,2007,"orange",10,0.2,11
10,1.69,2007,"red",11,0.13,7
10,1.69,2007,"yellow",7,0.14,8
11,1.69,2007,"blue",16,0.24,13
11,1.69,2007,"brown",10,0.14,8
11,1.69,2007,"green",8,0.16,9
11,1.69,2007,"orange",8,0.2,11
11,1.69,2007,"red",9,0.13,7
11,1.69,2007,"yellow",3,0.14,8
12,1.69,2007,"blue",14,0.24,13
12,1.69,2007,"brown",7,0.14,8
12,1.69,2007,"green",13,0.16,9
12,1.69,2007,"orange",10,0.2,11
12,1.69,2007,"red",2,0.13,7
12,1.69,2007,"yellow",8,0.14,8
13,1.69,2007,"blue",13,0.24,12
13,1.69,2007,"brown",4,0.14,7
13,1.69,2007,"green",9,0.16,8
13,1.69,2007,"orange",8,0.2,10
13,1.69,2007,"red",12,0.13,7
13,1.69,2007,"yellow",6,0.14,7
14,1.69,2007,"blue",11,0.24,13
14,1.69,2007,"brown",6,0.14,8
14,1.69,2007,"green",8,0.16,9
14,1.69,2007,"orange",11,0.2,11
14,1.69,2007,"red",9,0.13,7
14,1.69,2007,"yellow",10,0.14,8
15,1.69,2007,"blue",12,0.24,13
15,1.69,2007,"brown",12,0.14,8
15,1.69,2007,"green",9,0.16,9
15,1.69,2007,"orange",8,0.2,11
15,1.69,2007,"red",10,0.13,7
15,1.69,2007,"yellow",4,0.14,8
16,1.69,2007,"blue",8,0.24,13
16,1.69,2007,"brown",6,0.14,7
16,1.69,2007,"green",10,0.16,8
16,1.69,2007,"orange",14,0.2,11
16,1.69,2007,"red",6,0.13,7
16,1.69,2007,"yellow",9,0.14,7
17,1.69,2007,"blue",14,0.24,13
17,1.69,2007,"brown",8,0.14,8
17,1.69,2007,"green",6,0.16,9
17,1.69,2007,"orange",11,0.2,11
17,1.69,2007,"red",6,0.13,7
17,1.69,2007,"yellow",10,0.14,8
18,1.69,2007,"blue",12,0.24,13
18,1.69,2007,"brown",7,0.14,8
18,1.69,2007,"green",9,0.16,9
18,1.69,2007,"orange",15,0.2,11
18,1.69,2007,"red",8,0.13,7
18,1.69,2007,"yellow",5,0.14,8
19,1.69,2007,"blue",13,0.24,13
19,1.69,2007,"brown",7,0.14,8
19,1.69,2007,"green",5,0.16,9
19,1.69,2007,"orange",11,0.2,11
19,1.69,2007,"red",4,0.13,7
19,1.69,2007,"yellow",14,0.14,8
20,1.69,2007,"blue",12,0.24,14
20,1.69,2007,"brown",8,0.14,8
20,1.69,2007,"green",12,0.16,9
20,1.69,2007,"orange",8,0.2,11
20,1.69,2007,"red",8,0.13,7
20,1.69,2007,"yellow",9,0.14,8
21,1.69,2007,"blue",7,0.24,13
21,1.69,2007,"brown",9,0.14,8
21,1.69,2007,"green",17,0.16,9
21,1.69,2007,"orange",12,0.2,11
21,1.69,2007,"red",6,0.13,7
21,1.69,2007,"yellow",4,0.14,8
22,1.69,2007,"blue",11,0.24,13
22,1.69,2007,"brown",8,0.14,8
22,1.69,2007,"green",9,0.16,9
22,1.69,2007,"orange",10,0.2,11
22,1.69,2007,"red",8,0.13,7
22,1.69,2007,"yellow",8,0.14,8
23,1.69,2007,"blue",10,0.24,13
23,1.69,2007,"brown",4,0.14,8
23,1.69,2007,"green",12,0.16,9
23,1.69,2007,"orange",17,0.2,11
23,1.69,2007,"red",7,0.13,7
23,1.69,2007,"yellow",5,0.14,8
24,1.69,2007,"blue",11,0.24,14
24,1.69,2007,"brown",11,0.14,8
24,1.69,2007,"green",10,0.16,9
24,1.69,2007,"orange",10,0.2,11
24,1.69,2007,"red",4,0.13,7
24,1.69,2007,"yellow",11,0.14,8
25,1.69,2007,"blue",10,0.24,13
25,1.69,2007,"brown",8,0.14,7
25,1.69,2007,"green",13,0.16,8
25,1.69,2007,"orange",11,0.2,11
25,1.69,2007,"red",5,0.13,7
25,1.69,2007,"yellow",6,0.14,7
26,1.69,2007,"blue",7,0.24,13
26,1.69,2007,"brown",8,0.14,8
26,1.69,2007,"green",10,0.16,9
26,1.69,2007,"orange",11,0.2,11
26,1.69,2007,"red",12,0.13,7
26,1.69,2007,"yellow",6,0.14,8
27,1.69,2007,"blue",6,0.24,13
27,1.69,2007,"brown",5,0.14,8
27,1.69,2007,"green",9,0.16,9
27,1.69,2007,"orange",14,0.2,11
27,1.69,2007,"red",12,0.13,7
27,1.69,2007,"yellow",8,0.14,8
28,1.69,2007,"blue",8,0.24,14
28,1.69,2007,"brown",10,0.14,8
28,1.69,2007,"green",6,0.16,9
28,1.69,2007,"orange",10,0.2,11
28,1.69,2007,"red",11,0.13,7
28,1.69,2007,"yellow",12,0.14,8
29,1.69,2007,"blue",11,0.24,13
29,1.69,2007,"brown",7,0.14,8
29,1.69,2007,"green",8,0.16,9
29,1.69,2007,"orange",10,0.2,11
29,1.69,2007,"red",12,0.13,7
29,1.69,2007,"yellow",8,0.14,8
30,1.69,2007,"blue",5,0.24,14
30,1.69,2007,"brown",9,0.14,8
30,1.69,2007,"green",10,0.16,9
30,1.69,2007,"orange",15,0.2,11
30,1.69,2007,"red",7,0.13,7
30,1.69,2007,"yellow",11,0.14,8
31,1.69,2007,"blue",8,0.24,13
31,1.69,2007,"brown",7,0.14,8
31,1.69,2007,"green",16,0.16,9
31,1.69,2007,"orange",9,0.2,11
31,1.69,2007,"red",5,0.13,7
31,1.69,2007,"yellow",10,0.14,8
32,1.69,2007,"blue",13,0.24,13
32,1.69,2007,"brown",8,0.14,8
32,1.69,2007,"green",7,0.16,9
32,1.69,2007,"orange",11,0.2,11
32,1.69,2007,"red",10,0.13,7
32,1.69,2007,"yellow",5,0.14,8
33,1.69,2007,"blue",11,0.24,13
33,1.69,2007,"brown",8,0.14,8
33,1.69,2007,"green",5,0.16,9
33,1.69,2007,"orange",17,0.2,11
33,1.69,2007,"red",8,0.13,7
33,1.69,2007,"yellow",5,0.14,8
34,1.69,2007,"blue",7,0.24,14
34,1.69,2007,"brown",8,0.14,8
34,1.69,2007,"green",9,0.16,9
34,1.69,2007,"orange",11,0.2,11
34,1.69,2007,"red",11,0.13,7
34,1.69,2007,"yellow",11,0.14,8
35,1.69,2007,"blue",8,0.24,13
35,1.69,2007,"brown",9,0.14,8
35,1.69,2007,"green",9,0.16,9
35,1.69,2007,"orange",12,0.2,11
35,1.69,2007,"red",9,0.13,7
35,1.69,2007,"yellow",9,0.14,8
36,1.69,2007,"blue",8,0.24,13
36,1.69,2007,"brown",12,0.14,8
36,1.69,2007,"green",9,0.16,9
36,1.69,2007,"orange",14,0.2,11
36,1.69,2007,"red",6,0.13,7
36,1.69,2007,"yellow",7,0.14,8
37,1.69,2007,"blue",15,0.24,13
37,1.69,2007,"brown",3,0.14,8
37,1.69,2007,"green",11,0.16,9
37,1.69,2007,"orange",14,0.2,11
37,1.69,2007,"red",2,0.13,7
37,1.69,2007,"yellow",10,0.14,8
38,1.69,2007,"blue",7,0.24,13
38,1.69,2007,"brown",12,0.14,8
38,1.69,2007,"green",12,0.16,9
38,1.69,2007,"orange",9,0.2,11
38,1.69,2007,"red",10,0.13,7
38,1.69,2007,"yellow",5,0.14,8
39,1.69,2007,"blue",9,0.24,13
39,1.69,2007,"brown",5,0.14,8
39,1.69,2007,"green",10,0.16,9
39,1.69,2007,"orange",11,0.2,11
39,1.69,2007,"red",10,0.13,7
39,1.69,2007,"yellow",10,0.14,8
40,1.69,2007,"blue",13,0.24,13
40,1.69,2007,"brown",6,0.14,7
40,1.69,2007,"green",12,0.16,8
40,1.69,2007,"orange",11,0.2,11
40,1.69,2007,"red",9,0.13,7
40,1.69,2007,"yellow",2,0.14,7
41,1.69,2007,"blue",8,0.24,13
41,1.69,2007,"brown",7,0.14,8
41,1.69,2007,"green",9,0.16,9
41,1.69,2007,"orange",11,0.2,11
41,1.69,2007,"red",11,0.13,7
41,1.69,2007,"yellow",9,0.14,8
42,1.69,2007,"blue",11,0.24,13
42,1.69,2007,"brown",8,0.14,8
42,1.69,2007,"green",10,0.16,9
42,1.69,2007,"orange",17,0.2,11
42,1.69,2007,"red",4,0.13,7
42,1.69,2007,"yellow",4,0.14,8
43,1.69,2007,"blue",8,0.24,13
43,1.69,2007,"brown",7,0.14,8
43,1.69,2007,"green",13,0.16,9
43,1.69,2007,"orange",13,0.2,11
43,1.69,2007,"red",7,0.13,7
43,1.69,2007,"yellow",6,0.14,8
44,1.69,2007,"blue",8,0.24,13
44,1.69,2007,"brown",9,0.14,7
44,1.69,2007,"green",9,0.16,8
44,1.69,2007,"orange",13,0.2,11
44,1.69,2007,"red",8,0.13,7
44,1.69,2007,"yellow",6,0.14,7
45,1.69,2007,"blue",11,0.24,13
45,1.69,2007,"brown",9,0.14,8
45,1.69,2007,"green",10,0.16,9
45,1.69,2007,"orange",10,0.2,11
45,1.69,2007,"red",8,0.13,7
45,1.69,2007,"yellow",6,0.14,8
46,1.69,2007,"blue",9,0.24,13
46,1.69,2007,"brown",6,0.14,8
46,1.69,2007,"green",10,0.16,9
46,1.69,2007,"orange",10,0.2,11
46,1.69,2007,"red",9,0.13,7
46,1.69,2007,"yellow",10,0.14,8
47,1.69,2007,"blue",13,0.24,13
47,1.69,2007,"brown",8,0.14,8
47,1.69,2007,"green",11,0.16,9
47,1.69,2007,"orange",13,0.2,11
47,1.69,2007,"red",4,0.13,7
47,1.69,2007,"yellow",6,0.14,8
48,1.69,2007,"blue",14,0.24,13
48,1.69,2007,"brown",8,0.14,8
48,1.69,2007,"green",10,0.16,9
48,1.69,2007,"orange",9,0.2,11
48,1.69,2007,"red",8,0.13,7
48,1.69,2007,"yellow",6,0.14,8
